RACE_NUMBER,DISTANCE,TIME,PARTIAL,PACE,NAME,GENDER,OFFICIAL_POSITION,POSITION_GROUPING,PACE_DATETIME,TIME_DATETIME,PARTIAL_DATETIME
207,30K,1:37:28,0:16:29,"3,18","CHEPCHIRCHIR, CELESTINE",F,4,Top 10,2023-12-03T00:03:18,2023-12-03T01:37:28,2023-12-03T00:16:29
207,35K,1:54:42,0:17:14,"3,27","CHEPCHIRCHIR, CELESTINE",F,4,Top 10,2023-12-03T00:03:27,2023-12-03T01:54:42,2023-12-03T00:17:14
207,40K,2:12:32,0:17:51,"3,34","CHEPCHIRCHIR, CELESTINE",F,4,Top 10,2023-12-03T00:03:34,2023-12-03T02:12:32,2023-12-03T00:17:51
207,META,2:20:44,0:08:11,"3,44","CHEPCHIRCHIR, CELESTINE",F,4,Top 10,2023-12-03T00:03:44,2023-12-03T02:20:44,2023-12-03T00:08:11
211,5K,0:16:52,0:16:52,"0,00","MAAYOUF, MAJIDA",F,5,Top 10,2023-12-03T00:00:00,2023-12-03T00:16:52,2023-12-03T00:16:52
211,10K,0:33:45,0:16:52,"3,22","MAAYOUF, MAJIDA",F,5,Top 10,2023-12-03T00:03:22,2023-12-03T00:33:45,2023-12-03T00:16:52
211,15K,0:50:25,0:16:40,"3,20","MAAYOUF, MAJIDA",F,5,Top 10,2023-12-03T00:03:20,2023-12-03T00:50:25,2023-12-03T00:16:40
211,20K,1:06:56,0:16:31,"3,18","MAAYOUF, MAJIDA",F,5,Top 10,2023-12-03T00:03:18,2023-12-03T01:06:56,2023-12-03T00:16:31
211,Half,1:10:35,0:03:39,"3,20","MAAYOUF, MAJIDA",F,5,Top 10,2023-12-03T00:03:20,2023-12-03T01:10:35,2023-12-03T00:03:39
211,25K,1:23:41,0:16:46,"3,21","MAAYOUF, MAJIDA",F,5,Top 10,2023-12-03T00:03:21,2023-12-03T01:23:41,2023-12-03T00:16:46
211,30K,1:40:26,0:16:44,"3,21","MAAYOUF, MAJIDA",F,5,Top 10,2023-12-03T00:03:21,2023-12-03T01:40:26,2023-12-03T00:16:44
211,35K,1:57:27,0:17:01,"3,24","MAAYOUF, MAJIDA",F,5,Top 10,2023-12-03T00:03:24,2023-12-03T01:57:27,2023-12-03T00:17:01
211,40K,2:14:08,0:16:42,"3,20","MAAYOUF, MAJIDA",F,5,Top 10,2023-12-03T00:03:20,2023-12-03T02:14:08,2023-12-03T00:16:42
211,META,2:21:26,0:07:17,"3,19","MAAYOUF, MAJIDA",F,5,Top 10,2023-12-03T00:03:19,2023-12-03T02:21:26,2023-12-03T00:07:17
225,5K,0:16:59,0:16:59,"0,00","HAYDAR, SULTAN",F,6,Top 10,2023-12-03T00:00:00,2023-12-03T00:16:59,2023-12-03T00:16:59
225,10K,0:33:44,0:16:44,"3,21","HAYDAR, SULTAN",F,6,Top 10,2023-12-03T00:03:21,2023-12-03T00:33:44,2023-12-03T00:16:44
225,15K,0:50:24,0:16:41,"3,20","HAYDAR, SULTAN",F,6,Top 10,2023-12-03T00:03:20,2023-12-03T00:50:24,2023-12-03T00:16:41
225,20K,1:06:55,0:16:30,"3,18","HAYDAR, SULTAN",F,6,Top 10,2023-12-03T00:03:18,2023-12-03T01:06:55,2023-12-03T00:16:30
225,Half,1:10:34,0:03:40,"3,21","HAYDAR, SULTAN",F,6,Top 10,2023-12-03T00:03:21,2023-12-03T01:10:34,2023-12-03T00:03:40
225,25K,1:23:41,0:16:46,"3,21","HAYDAR, SULTAN",F,6,Top 10,2023-12-03T00:03:21,2023-12-03T01:23:41,2023-12-03T00:16:46
225,30K,1:40:25,0:16:45,"3,21","HAYDAR, SULTAN",F,6,Top 10,2023-12-03T00:03:21,2023-12-03T01:40:25,2023-12-03T00:16:45
225,35K,1:57:26,0:17:01,"3,24","HAYDAR, SULTAN",F,6,Top 10,2023-12-03T00:03:24,2023-12-03T01:57:26,2023-12-03T00:17:01
225,40K,2:13:59,0:16:32,"3,18","HAYDAR, SULTAN",F,6,Top 10,2023-12-03T00:03:18,2023-12-03T02:13:59,2023-12-03T00:16:32
225,META,2:21:25,0:07:26,"3,23","HAYDAR, SULTAN",F,6,Top 10,2023-12-03T00:03:23,2023-12-03T02:21:25,2023-12-03T00:07:26
210,5K,0:16:11,0:16:11,"0,00","MOKONIN, DESI",F,7,Top 10,2023-12-03T00:00:00,2023-12-03T00:16:11,2023-12-03T00:16:11
210,10K,0:32:23,0:16:12,"3,14","MOKONIN, DESI",F,7,Top 10,2023-12-03T00:03:14,2023-12-03T00:32:23,2023-12-03T00:16:12
210,15K,0:48:37,0:16:15,"3,15","MOKONIN, DESI",F,7,Top 10,2023-12-03T00:03:15,2023-12-03T00:48:37,2023-12-03T00:16:15
210,20K,1:04:42,0:16:05,"3,13","MOKONIN, DESI",F,7,Top 10,2023-12-03T00:03:13,2023-12-03T01:04:42,2023-12-03T00:16:05
210,Half,1:08:18,0:03:35,"3,16","MOKONIN, DESI",F,7,Top 10,2023-12-03T00:03:16,2023-12-03T01:08:18,2023-12-03T00:03:35
210,25K,1:21:19,0:16:36,"3,19","MOKONIN, DESI",F,7,Top 10,2023-12-03T00:03:19,2023-12-03T01:21:19,2023-12-03T00:16:36
210,30K,1:38:55,0:17:36,"3,31","MOKONIN, DESI",F,7,Top 10,2023-12-03T00:03:31,2023-12-03T01:38:55,2023-12-03T00:17:36
210,35K,1:56:58,0:18:04,"3,37","MOKONIN, DESI",F,7,Top 10,2023-12-03T00:03:37,2023-12-03T01:56:58,2023-12-03T00:18:04
210,40K,2:14:40,0:17:42,"3,32","MOKONIN, DESI",F,7,Top 10,2023-12-03T00:03:32,2023-12-03T02:14:40,2023-12-03T00:17:42
210,META,2:22:27,0:07:46,"3,32","MOKONIN, DESI",F,7,Top 10,2023-12-03T00:03:32,2023-12-03T02:22:27,2023-12-03T00:07:46
251,5K,0:17:04,0:17:04,"0,00","GREGSON, GENEVIEVE",F,8,Top 10,2023-12-03T00:00:00,2023-12-03T00:17:04,2023-12-03T00:17:04
251,10K,0:33:58,0:16:55,"3,23","GREGSON, GENEVIEVE",F,8,Top 10,2023-12-03T00:03:23,2023-12-03T00:33:58,2023-12-03T00:16:55
251,15K,0:51:02,0:17:04,"3,25","GREGSON, GENEVIEVE",F,8,Top 10,2023-12-03T00:03:25,2023-12-03T00:51:02,2023-12-03T00:17:04
251,20K,1:07:57,0:16:55,"3,23","GREGSON, GENEVIEVE",F,8,Top 10,2023-12-03T00:03:23,2023-12-03T01:07:57,2023-12-03T00:16:55
251,Half,1:11:43,0:03:45,"3,25","GREGSON, GENEVIEVE",F,8,Top 10,2023-12-03T00:03:25,2023-12-03T01:11:43,2023-12-03T00:03:45
251,25K,1:25:07,0:17:09,"3,26","GREGSON, GENEVIEVE",F,8,Top 10,2023-12-03T00:03:26,2023-12-03T01:25:07,2023-12-03T00:17:09
251,30K,1:41:59,0:16:53,"3,23","GREGSON, GENEVIEVE",F,8,Top 10,2023-12-03T00:03:23,2023-12-03T01:41:59,2023-12-03T00:16:53
251,35K,1:58:59,0:17:00,"3,24","GREGSON, GENEVIEVE",F,8,Top 10,2023-12-03T00:03:24,2023-12-03T01:58:59,2023-12-03T00:17:00
251,40K,2:15:41,0:16:42,"3,20","GREGSON, GENEVIEVE",F,8,Top 10,2023-12-03T00:03:20,2023-12-03T02:15:41,2023-12-03T00:16:42
251,META,2:23:05,0:07:24,"3,22","GREGSON, GENEVIEVE",F,8,Top 10,2023-12-03T00:03:22,2023-12-03T02:23:05,2023-12-03T00:07:24
224,5K,0:17:01,0:17:01,"0,00","YAREMCHUK, SOFIIA",F,9,Top 10,2023-12-03T00:00:00,2023-12-03T00:17:01,2023-12-03T00:17:01
224,10K,0:33:59,0:16:58,"3,24","YAREMCHUK, SOFIIA",F,9,Top 10,2023-12-03T00:03:24,2023-12-03T00:33:59,2023-12-03T00:16:58
224,15K,0:51:00,0:17:01,"3,24","YAREMCHUK, SOFIIA",F,9,Top 10,2023-12-03T00:03:24,2023-12-03T00:51:00,2023-12-03T00:17:01
224,20K,1:07:57,0:16:58,"3,24","YAREMCHUK, SOFIIA",F,9,Top 10,2023-12-03T00:03:24,2023-12-03T01:07:57,2023-12-03T00:16:58
224,Half,1:11:43,0:03:45,"3,25","YAREMCHUK, SOFIIA",F,9,Top 10,2023-12-03T00:03:25,2023-12-03T01:11:43,2023-12-03T00:03:45
224,25K,1:25:05,0:17:07,"3,25","YAREMCHUK, SOFIIA",F,9,Top 10,2023-12-03T00:03:25,2023-12-03T01:25:05,2023-12-03T00:17:07
224,30K,1:41:55,0:16:51,"3,22","YAREMCHUK, SOFIIA",F,9,Top 10,2023-12-03T00:03:22,2023-12-03T01:41:55,2023-12-03T00:16:51
224,35K,1:59:00,0:17:04,"3,25","YAREMCHUK, SOFIIA",F,9,Top 10,2023-12-03T00:03:25,2023-12-03T01:59:00,2023-12-03T00:17:04
224,40K,2:15:47,0:16:47,"3,21","YAREMCHUK, SOFIIA",F,9,Top 10,2023-12-03T00:03:21,2023-12-03T02:15:47,2023-12-03T00:16:47
224,META,2:23:15,0:07:28,"3,24","YAREMCHUK, SOFIIA",F,9,Top 10,2023-12-03T00:03:24,2023-12-03T02:23:15,2023-12-03T00:07:28
248,5K,0:16:59,0:16:59,"0,00","BATT-DOYLE, ISOBEL",F,10,Top 10,2023-12-03T00:00:00,2023-12-03T00:16:59,2023-12-03T00:16:59
248,10K,0:33:57,0:16:57,"3,23","BATT-DOYLE, ISOBEL",F,10,Top 10,2023-12-03T00:03:23,2023-12-03T00:33:57,2023-12-03T00:16:57
248,15K,0:51:01,0:17:04,"3,25","BATT-DOYLE, ISOBEL",F,10,Top 10,2023-12-03T00:03:25,2023-12-03T00:51:01,2023-12-03T00:17:04
248,20K,1:07:58,0:16:57,"3,23","BATT-DOYLE, ISOBEL",F,10,Top 10,2023-12-03T00:03:23,2023-12-03T01:07:58,2023-12-03T00:16:57
248,Half,1:11:42,0:03:45,"3,25","BATT-DOYLE, ISOBEL",F,10,Top 10,2023-12-03T00:03:25,2023-12-03T01:11:42,2023-12-03T00:03:45
248,25K,1:25:06,0:17:08,"3,26","BATT-DOYLE, ISOBEL",F,10,Top 10,2023-12-03T00:03:26,2023-12-03T01:25:06,2023-12-03T00:17:08
248,30K,1:42:10,0:17:04,"3,25","BATT-DOYLE, ISOBEL",F,10,Top 10,2023-12-03T00:03:25,2023-12-03T01:42:10,2023-12-03T00:17:04
248,35K,1:59:29,0:17:19,"3,28","BATT-DOYLE, ISOBEL",F,10,Top 10,2023-12-03T00:03:28,2023-12-03T01:59:29,2023-12-03T00:17:19
248,40K,2:16:16,0:16:47,"3,21","BATT-DOYLE, ISOBEL",F,10,Top 10,2023-12-03T00:03:21,2023-12-03T02:16:16,2023-12-03T00:16:47
248,META,2:23:24,0:07:08,"3,15","BATT-DOYLE, ISOBEL",F,10,Top 10,2023-12-03T00:03:15,2023-12-03T02:23:24,2023-12-03T00:07:08
228,5K,0:17:04,0:17:04,"0,00","STEYN, GERDA",F,11,Other,2023-12-03T00:00:00,2023-12-03T00:17:04,2023-12-03T00:17:04
228,10K,0:33:59,0:16:56,"3,23","STEYN, GERDA",F,11,Other,2023-12-03T00:03:23,2023-12-03T00:33:59,2023-12-03T00:16:56
228,15K,0:51:02,0:17:02,"3,24","STEYN, GERDA",F,11,Other,2023-12-03T00:03:24,2023-12-03T00:51:02,2023-12-03T00:17:02
228,20K,1:08:00,0:16:58,"3,24","STEYN, GERDA",F,11,Other,2023-12-03T00:03:24,2023-12-03T01:08:00,2023-12-03T00:16:58
228,Half,1:11:43,0:03:44,"3,24","STEYN, GERDA",F,11,Other,2023-12-03T00:03:24,2023-12-03T01:11:43,2023-12-03T00:03:44
228,25K,1:25:07,0:17:07,"3,25","STEYN, GERDA",F,11,Other,2023-12-03T00:03:25,2023-12-03T01:25:07,2023-12-03T00:17:07
228,30K,1:42:11,0:17:05,"3,25","STEYN, GERDA",F,11,Other,2023-12-03T00:03:25,2023-12-03T01:42:11,2023-12-03T00:17:05
228,35K,1:59:34,0:17:23,"3,29","STEYN, GERDA",F,11,Other,2023-12-03T00:03:29,2023-12-03T01:59:34,2023-12-03T00:17:23
228,40K,2:16:36,0:17:01,"3,24","STEYN, GERDA",F,11,Other,2023-12-03T00:03:24,2023-12-03T02:16:36,2023-12-03T00:17:01
228,META,2:24:01,0:07:25,"3,23","STEYN, GERDA",F,11,Other,2023-12-03T00:03:23,2023-12-03T02:24:01,2023-12-03T00:07:25
204,5K,0:16:12,0:16:12,"0,00","CHELIMO, JOAN",F,12,Other,2023-12-03T00:00:00,2023-12-03T00:16:12,2023-12-03T00:16:12
204,10K,0:32:28,0:16:16,"3,15","CHELIMO, JOAN",F,12,Other,2023-12-03T00:03:15,2023-12-03T00:32:28,2023-12-03T00:16:16
204,15K,0:49:01,0:16:33,"3,19","CHELIMO, JOAN",F,12,Other,2023-12-03T00:03:19,2023-12-03T00:49:01,2023-12-03T00:16:33
204,20K,1:05:57,0:16:57,"3,23","CHELIMO, JOAN",F,12,Other,2023-12-03T00:03:23,2023-12-03T01:05:57,2023-12-03T00:16:57
204,Half,1:09:38,0:03:41,"3,21","CHELIMO, JOAN",F,12,Other,2023-12-03T00:03:21,2023-12-03T01:09:38,2023-12-03T00:03:41
204,25K,1:23:12,0:17:15,"3,27","CHELIMO, JOAN",F,12,Other,2023-12-03T00:03:27,2023-12-03T01:23:12,2023-12-03T00:17:15
204,30K,1:41:05,0:17:52,"3,34","CHELIMO, JOAN",F,12,Other,2023-12-03T00:03:34,2023-12-03T01:41:05,2023-12-03T00:17:52
204,35K,1:59:01,0:17:56,"3,35","CHELIMO, JOAN",F,12,Other,2023-12-03T00:03:35,2023-12-03T01:59:01,2023-12-03T00:17:56
204,40K,2:16:36,0:17:36,"3,31","CHELIMO, JOAN",F,12,Other,2023-12-03T00:03:31,2023-12-03T02:16:36,2023-12-03T00:17:36
204,META,2:24:15,0:07:38,"3,29","CHELIMO, JOAN",F,12,Other,2023-12-03T00:03:29,2023-12-03T02:24:15,2023-12-03T00:07:38
213,5K,0:17:04,0:17:04,"0,00","WEIGHTMAN, LISA",F,13,Other,2023-12-03T00:00:00,2023-12-03T00:17:04,2023-12-03T00:17:04
213,10K,0:33:58,0:16:55,"3,23","WEIGHTMAN, LISA",F,13,Other,2023-12-03T00:03:23,2023-12-03T00:33:58,2023-12-03T00:16:55
