OFFICIAL_POSITION,RACE_NUMBER,NAME,OFFICIAL_TIME,REAL_TIME,REAL_AVERAGE,CATEGORY,GENDER
181,523,"TROITE, KIM-ROGER",2:23:06,2:23:01,"3,23",M-SENIOR,M
182,462,"AVALLE, STEFANO",2:23:15,2:23:10,"3,24",M-SENIOR,M
183,169,"PILLEUX, ADRIEN",2:23:16,2:23:14,"3,24",M-SENIOR,M
184,472,"MCCAMBRIDGE, CONAL",2:23:16,2:23:09,"3,24",M-SENIOR,M
185,738,"GUILLAUME, TIPHENE",2:23:17,2:23:13,"3,24",M-SENIOR,M
186,651,"ANÉ, JEAN-PIERRE",2:23:17,2:23:12,"3,24",M-M40,M
187,352,"JIMENEZ, ALEJANDRO",2:23:17,2:23:16,"3,24",M-M35,M
188,739,"DONNAY OTEGUI, ENDIKA",2:23:18,2:23:11,"3,24",M-M35,M
189,686,"CARMONA PARADA, FRANCESC",2:23:19,2:23:09,"3,24",M-M35,M
190,605,"ROUSSEAU, LUDOVIC",2:23:24,2:23:17,"3,24",M-M35,M
191,688,"IMBERT, THIBAUT",2:23:27,2:23:20,"3,24",M-SENIOR,M
192,415,"BOUTOIL, AZIZ",2:23:28,2:23:27,"3,24",M-M35,M
193,727,"MARTIN, LAURENT",2:23:29,2:23:27,"3,24",M-SENIOR,M
194,754,"MANI, ALEXANDRE",2:23:31,2:23:24,"3,24",M-SENIOR,M
195,668,"BENTLEY, RUSSELL",2:23:31,2:23:27,"3,24",M-M40,M
196,497,"BRUCHHAUSEN, CHRISTOPHER",2:23:34,2:23:30,"3,24",M-SENIOR,M
197,455,"TREJO ALEMAN, ROBERTO CARLOS",2:23:35,2:23:26,"3,24",M-M40,M
198,568,"HENNION, ALEXANDRE",2:23:37,2:23:33,"3,24",M-SENIOR,M
199,1782,"BAZEILLE, SÉBASTIEN",2:23:37,2:23:34,"3,24",M-M40,M
200,2494,"ALTAN, UGUR",2:23:39,2:23:31,"3,24",M-SENIOR,M
201,535,"AMIN, BOUKEBAL",2:23:42,2:23:37,"3,24",M-SENIOR,M
202,703,"DE BART, SANDER",2:23:43,2:23:39,"3,24",M-M35,M
203,704,"ZALEJSKI, NICOLAS",2:23:44,2:23:37,"3,24",M-SENIOR,M
204,683,"FENOT, NICOLAS",2:23:46,2:23:41,"3,24",M-SENIOR,M
205,799,"GOUTILLE, ROMAIN",2:23:47,2:23:43,"3,24",M-M35,M
206,710,"HIRVIKALLIO, JONI",2:23:48,2:23:44,"3,24",M-SENIOR,M
207,792,"CARON, PIERRE",2:23:48,2:23:40,"3,24",M-SENIOR,M
208,510,"KARLSSON, SIMON",2:23:49,2:23:46,"3,24",M-SENIOR,M
209,10888,"VINOGRADOV, EGOR",2:23:52,2:23:47,"3,24",M-M40,M
210,500,"PLANAS CRIADO, XAVIER",2:23:53,2:23:48,"3,24",M-M40,M
211,645,"LUNDEGÅRD, ANDREAS",2:23:53,2:23:48,"3,24",M-M35,M
212,158,"CHENAIS, JOAN",2:23:59,2:23:56,"3,25",M-SENIOR,M
213,790,"BRAM, EECKHOUT",2:24:01,2:23:50,"3,25",M-SENIOR,M
214,188,"PALOMERA SVENSSON, SAMUEL",2:24:02,2:24:00,"3,25",M-SENIOR,M
215,680,"EECKHOUT, SIMON",2:24:11,2:24:01,"3,25",M-UNDER23,M
216,431,"TISHAKIN, ANTON",2:24:12,2:24:09,"3,25",M-M35,M
217,8037,"BRUN, ROMUALD",2:24:14,2:24:06,"3,25",M-M40,M
218,890,"NIETO PEÑA, CARLOS",2:24:15,2:24:11,"3,25",M-M35,M
219,716,"BURUCS, FERENC",2:24:15,2:24:13,"3,25",M-M35,M
220,736,"ADRIEN, JAMET",2:24:18,2:24:11,"3,25",M-SENIOR,M
221,855,"ERIC, HERAULT",2:24:18,2:24:15,"3,25",M-M45,M
222,508,"BURGOS JIMENEZ, MANUEL JESUS",2:24:19,2:24:19,"3,25",M-M45,M
223,443,"HORTELANO RUBIO, MARCOS",2:24:21,2:24:09,"3,25",M-M35,M
224,515,"NILSSON, JONAS",2:24:22,2:24:15,"3,25",M-SENIOR,M
225,721,"SANCHEZ GUEVARA, AURELIO",2:24:22,2:24:19,"3,25",M-M35,M
226,868,"DREUX, JULIEN",2:24:24,2:24:19,"3,25",M-M35,M
227,504,"MORETA CRIOLLO, SIXTO ROMAN",2:24:24,2:24:20,"3,25",M-SENIOR,M
228,619,"RAPHAEL, LEROY",2:24:27,2:24:18,"3,25",M-SENIOR,M
229,47,"HERZOG, PETER",2:24:32,2:24:28,"3,25",M-M35,M
230,1312,"FRANKEN, MELVIN",2:24:34,2:24:30,"3,25",M-SENIOR,M
231,849,"ESPERANZA MATEOS, FERNANDO",2:24:34,2:24:29,"3,25",M-M35,M
232,791,"ROMAIN PHILIPPE, MERLAUD",2:24:35,2:24:31,"3,25",M-SENIOR,M
233,492,"HELLSTRÖM, ISAK",2:24:36,2:24:32,"3,25",M-SENIOR,M
234,815,"SOLLA, CLAUDIO",2:24:37,2:24:31,"3,25",M-M40,M
235,802,"YOUNG, MICHAEL",2:24:37,2:24:33,"3,26",M-M35,M
236,808,"WILSON, AARON",2:24:41,2:24:35,"3,26",M-SENIOR,M
237,521,"MACRI, JULIEN",2:24:41,2:24:35,"3,26",M-SENIOR,M
238,654,"HILLER, CHRISTIAN",2:24:48,2:24:39,"3,26",M-M35,M
239,152,"CORNTHWAITE, TOM",2:24:53,2:24:53,"3,26",M-M35,M
240,767,"SUTHON, GEORGE",2:24:54,2:24:48,"3,26",M-SENIOR,M
241,1140,"EDLMAN, MARTIN",2:24:55,2:24:46,"3,26",M-SENIOR,M
242,471,"SMITH, ALISTAIR",2:24:57,2:24:47,"3,26",M-M35,M
243,638,"BRUNDISH, ROBERT",2:24:58,2:24:51,"3,26",M-M40,M
244,640,"HUFFMAN, WILLIAM",2:25:02,2:24:57,"3,26",M-SENIOR,M
245,1323,"GUARDIA COLOMER, MARC",2:25:02,2:24:59,"3,26",M-SENIOR,M
246,600,"HAMON, GUILLAUME",2:25:03,2:24:53,"3,26",M-SENIOR,M
247,589,"LEMERCIER, ROBIN",2:25:03,2:24:53,"3,26",M-SENIOR,M
248,784,"STEGER, MANFRED",2:25:03,2:24:58,"3,26",M-M35,M
249,852,"SUAREZ LASO, ALBERTO",2:25:04,2:24:55,"3,26",M-M45,M
250,478,"ROMAIN, FERCOQ",2:25:06,2:24:56,"3,26",M-SENIOR,M
