OFFICIAL POS.,RACE NUMBER,NAME,OFFICIAL TIME,REAL TIME,REAL AVERAGE,CATEGORY
1,203,"DEGEFA, WORKNESH",2:15:51,2:15:50,"3,13",F-SENIOR
2,202,"AYANA, ALMAZ",2:16:22,2:16:21,"3,14",F-SENIOR
3,206,"GEBREKIDAN, HIWOT",2:17:59,2:17:58,"3,16",F-SENIOR
4,207,"CHEPCHIRCHIR, CELESTINE",2:20:46,2:20:44,"3,20",F-SENIOR
5,211,"MAAYOUF, MAJIDA",2:21:27,2:21:26,"3,21",F-SENIOR
6,225,"HAYDAR, SULTAN",2:21:27,2:21:25,"3,21",F-W35
7,210,"MOKONIN, DESI",2:22:29,2:22:27,"3,23",F-SENIOR
8,251,"GREGSON, GENEVIEVE",2:23:08,2:23:05,"3,23",F-SENIOR
9,224,"YAREMCHUK, SOFIIA",2:23:16,2:23:15,"3,24",F-SENIOR
10,248,"BATT-DOYLE, ISOBEL",2:23:27,2:23:24,"3,24",F-SENIOR
11,228,"STEYN, GERDA",2:24:03,2:24:01,"3,25",F-SENIOR
12,204,"CHELIMO, JOAN",2:24:16,2:24:15,"3,25",F-SENIOR
13,213,"WEIGHTMAN, LISA",2:24:18,2:24:17,"3,25",F-W40
14,233,"SCHLUMPF, FABIENNE",2:24:30,2:24:29,"3,25",F-SENIOR
15,389,"HOTTENROTT, LAURA",2:24:32,2:24:30,"3,25",F-SENIOR
16,267,"RICHARDSSON, CAMILLA",2:24:38,2:24:36,"3,26",F-SENIOR
17,235,"WOLDU, MEKDES",2:24:44,2:24:43,"3,26",F-SENIOR
18,243,"ORTIZ MOROCHO, SILVIA PATRICIA",2:24:50,2:24:48,"3,26",F-SENIOR
19,255,"MÉLODY, JULIEN",2:25:01,2:25:00,"3,26",F-SENIOR
20,258,"EVANS, CLARA",2:25:04,2:25:01,"3,26",F-SENIOR
21,257,"PARTRIDGE, LILY",2:25:12,2:25:09,"3,26",F-SENIOR
22,219,"OUHADDOU, FATIMA AZAHARAA",2:25:30,2:25:29,"3,27",F-SENIOR
23,217,"LUENGO, LAURA",2:25:35,2:25:33,"3,27",F-SENIOR
24,254,"DA SILVA GODINHO, SUSANA CRISTINA",2:25:35,2:25:34,"3,27",F-SENIOR
25,259,"STEWARTOVÁ, MOIRA",2:25:36,2:25:35,"3,27",F-SENIOR
26,227,"WELLINGS, ELOISE",2:25:47,2:25:45,"3,27",F-SENIOR
27,314,"TRAPP, MANON",2:25:48,2:25:45,"3,27",F-SENIOR
28,296,"FADOUWA, LEDHEM",2:25:50,2:25:47,"3,27",F-W35
29,231,"LISOWSKA, ALEKSANDRA",2:25:52,2:25:49,"3,27",F-SENIOR
30,263,"HERNANDEZ FLORES, MARGARITA",2:25:54,2:25:53,"3,27",F-W35
31,312,"FRENCH, CAMILLE",2:26:08,2:26:06,"3,28",F-SENIOR
32,262,"PERRIER, MARIE",2:26:19,2:26:17,"3,28",F-SENIOR
33,247,"MACH, ANGELIKA",2:26:19,2:26:16,"3,28",F-SENIOR
34,212,"MCCORMACK, FIONNUALA",2:26:19,2:26:17,"3,28",F-W35
35,221,"PELAYO, IRENE",2:26:40,2:26:39,"3,29",F-W40
36,316,"PEREZ, MARIA JOSE",2:26:42,2:26:39,"3,29",F-SENIOR
37,266,"MAYER, JULIA",2:26:43,2:26:41,"3,29",F-SENIOR
38,250,"BRZEZINSKA, ALEKSANDRA",2:27:20,2:27:17,"3,29",F-SENIOR
39,232,"VAN ZYL, YRVETTE",2:27:29,2:27:27,"3,30",F-W35
