RACE NUMBER,DISTANCE,TIEMPO,PARTIAL,PACE
233,40K,2:17:01,0:17:18,"3,28"
233,META,2:24:29,0:07:28,"3,24"
389,5K,0:17:17,0:17:17,"0,00"
389,10K,0:34:31,0:17:14,"3,27"
389,15K,0:51:37,0:17:07,"3,25"
389,20K,1:08:49,0:17:12,"3,26"
389,Half,1:12:41,0:03:51,"3,31"
389,25K,1:26:12,0:17:23,"3,29"
389,30K,1:43:20,0:17:07,"3,25"
389,35K,2:00:28,0:17:08,"3,26"
389,40K,2:17:15,0:16:47,"3,21"
389,META,2:24:30,0:07:15,"3,18"
267,5K,0:17:08,0:17:08,"0,00"
267,10K,0:34:19,0:17:10,"3,26"
267,15K,0:51:29,0:17:10,"3,26"
267,20K,1:08:36,0:17:07,"3,25"
267,Half,1:12:21,0:03:45,"3,25"
267,25K,1:25:45,0:17:09,"3,26"
267,30K,1:43:01,0:17:16,"3,27"
267,35K,2:00:13,0:17:12,"3,26"
267,40K,2:17:15,0:17:02,"3,24"
267,META,2:24:36,0:07:21,"3,21"
235,5K,0:17:00,0:17:00,"0,00"
235,10K,0:33:57,0:16:58,"3,24"
235,15K,0:50:59,0:17:01,"3,24"
235,20K,1:07:56,0:16:58,"3,24"
235,Half,1:11:42,0:03:45,"3,25"
235,25K,1:25:04,0:17:07,"3,25"
235,30K,1:42:00,0:16:57,"3,23"
235,35K,1:59:14,0:17:13,"3,27"
235,40K,2:16:47,0:17:33,"3,31"
235,META,2:24:43,0:07:55,"3,36"
243,5K,0:17:14,0:17:14,"0,00"
243,10K,0:34:32,0:17:18,"3,28"
243,15K,0:51:52,0:17:20,"3,28"
243,20K,1:09:09,0:17:17,"3,27"
243,Half,1:12:58,0:03:48,"3,28"
243,25K,1:26:27,0:17:18,"3,28"
243,30K,1:43:32,0:17:05,"3,25"
243,35K,2:00:39,0:17:06,"3,25"
243,40K,2:17:23,0:16:44,"3,21"
243,META,2:24:48,0:07:25,"3,23"
255,5K,0:17:15,0:17:15,"0,00"
255,10K,0:34:26,0:17:12,"3,26"
255,15K,0:51:38,0:17:11,"3,26"
255,20K,1:08:51,0:17:13,"3,27"
255,Half,1:12:42,0:03:51,"3,31"
255,25K,1:26:14,0:17:23,"3,29"
255,30K,1:43:29,0:17:15,"3,27"
255,35K,2:00:46,0:17:17,"3,27"
255,40K,2:17:37,0:16:51,"3,22"
255,META,2:25:00,0:07:23,"3,22"
258,5K,0:17:16,0:17:16,"0,00"
258,10K,0:34:32,0:17:17,"3,27"
258,15K,0:51:52,0:17:19,"3,28"
258,20K,1:09:08,0:17:17,"3,27"
258,Half,1:12:57,0:03:48,"3,28"
258,25K,1:26:26,0:17:18,"3,28"
258,30K,1:43:46,0:17:20,"3,28"
258,35K,2:00:56,0:17:10,"3,26"
258,40K,2:17:40,0:16:44,"3,21"
258,META,2:25:01,0:07:20,"3,20"
257,5K,0:17:19,0:17:19,"0,00"
257,10K,0:34:33,0:17:14,"3,27"
257,15K,0:51:55,0:17:22,"3,28"
257,20K,1:09:11,0:17:17,"3,27"
257,Half,1:13:00,0:03:48,"3,28"
257,25K,1:26:35,0:17:24,"3,29"
257,30K,1:43:54,0:17:18,"3,28"
257,35K,2:00:54,0:17:00,"3,24"
257,40K,2:17:40,0:16:46,"3,21"
257,META,2:25:09,0:07:30,"3,25"
219,5K,0:17:02,0:17:02,"0,00"
219,10K,0:33:59,0:16:58,"3,24"
219,15K,0:51:02,0:17:03,"3,25"
219,20K,1:08:02,0:16:59,"3,24"
219,Half,1:11:45,0:03:43,"3,23"
219,25K,1:25:10,0:17:08,"3,26"
219,30K,1:42:23,0:17:14,"3,27"
219,35K,1:59:58,0:17:35,"3,31"
219,40K,2:17:38,0:17:39,"3,32"
219,META,2:25:29,0:07:51,"3,35"
217,5K,0:17:17,0:17:17,"0,00"
217,10K,0:34:33,0:17:17,"3,27"
217,15K,0:51:54,0:17:20,"3,28"
217,20K,1:09:09,0:17:16,"3,27"
217,Half,1:12:58,0:03:49,"3,29"
217,25K,1:26:27,0:17:18,"3,28"
217,30K,1:43:47,0:17:19,"3,28"
217,35K,2:01:12,0:17:25,"3,29"
217,40K,2:18:04,0:16:53,"3,23"
217,META,2:25:33,0:07:28,"3,24"
254,5K,0:17:16,0:17:16,"0,00"
254,10K,0:34:31,0:17:15,"3,27"
254,15K,0:51:46,0:17:14,"3,27"
254,20K,1:08:58,0:17:12,"3,26"
254,Half,1:12:46,0:03:48,"3,28"
254,25K,1:26:13,0:17:15,"3,27"
254,30K,1:43:30,0:17:17,"3,27"
254,35K,2:00:56,0:17:26,"3,29"
254,40K,2:18:08,0:17:12,"3,26"
254,META,2:25:34,0:07:26,"3,23"
259,5K,0:17:17,0:17:17,"0,00"
259,10K,0:34:33,0:17:16,"3,27"
259,15K,0:51:53,0:17:20,"3,28"
259,20K,1:09:10,0:17:17,"3,27"
259,Half,1:12:59,0:03:49,"3,29"
259,25K,1:26:28,0:17:17,"3,27"
259,30K,1:43:48,0:17:21,"3,28"
259,35K,2:01:05,0:17:16,"3,27"
259,40K,2:18:15,0:17:11,"3,26"
259,META,2:25:35,0:07:19,"3,20"
227,5K,0:17:04,0:17:04,"0,00"
227,10K,0:34:00,0:16:56,"3,23"
227,15K,0:51:02,0:17:03,"3,25"
227,20K,1:08:00,0:16:57,"3,23"
227,Half,1:11:43,0:03:44,"3,24"
227,25K,1:25:07,0:17:07,"3,25"
227,30K,1:41:59,0:16:52,"3,22"
227,35K,1:58:59,0:17:00,"3,24"
227,40K,2:17:03,0:18:05,"3,37"
227,META,2:25:45,0:08:41,"3,57"
314,5K,0:17:16,0:17:16,"0,00"
314,10K,0:34:32,0:17:17,"3,27"
314,15K,0:51:55,0:17:23,"3,29"
314,20K,1:09:10,0:17:15,"3,27"
314,Half,1:12:59,0:03:48,"3,28"
314,25K,1:26:29,0:17:18,"3,28"
314,30K,1:43:49,0:17:20,"3,28"
314,35K,2:01:11,0:17:22,"3,28"
314,40K,2:18:15,0:17:04,"3,25"
314,META,2:25:45,0:07:30,"3,25"
296,5K,0:17:14,0:17:14,"0,00"
296,10K,0:34:32,0:17:18,"3,28"
296,15K,0:51:51,0:17:20,"3,28"
296,20K,1:09:08,0:17:16,"3,27"
296,Half,1:12:57,0:03:49,"3,29"
296,25K,1:26:26,0:17:19,"3,28"
296,30K,1:43:48,0:17:21,"3,28"
296,35K,2:01:13,0:17:25,"3,29"
296,40K,2:18:26,0:17:14,"3,27"
296,META,2:25:47,0:07:20,"3,20"
231,5K,0:17:25,0:17:25,"0,00"
231,10K,0:34:35,0:17:09,"3,26"
231,15K,0:51:56,0:17:22,"3,28"
231,20K,1:09:10,0:17:13,"3,27"
231,Half,1:12:58,0:03:49,"3,29"
231,25K,1:26:29,0:17:20,"3,28"
231,30K,1:43:49,0:17:19,"3,28"
231,35K,2:01:17,0:17:29,"3,30"
231,40K,2:18:22,0:17:05,"3,25"
231,META,2:25:49,0:07:26,"3,23"
263,5K,0:17:14,0:17:14,"0,00"
263,10K,0:34:25,0:17:12,"3,26"
263,15K,0:51:30,0:17:05,"3,25"
263,20K,1:08:35,0:17:04,"3,25"
263,Half,1:12:20,0:03:46,"3,26"
263,25K,1:25:46,0:17:11,"3,26"
263,30K,1:43:01,0:17:16,"3,27"
263,35K,2:00:45,0:17:44,"3,33"
263,40K,2:18:15,0:17:29,"3,30"
263,META,2:25:53,0:07:37,"3,28"
312,5K,0:17:16,0:17:16,"0,00"
312,10K,0:34:33,0:17:17,"3,27"
312,15K,0:51:54,0:17:22,"3,28"
312,20K,1:09:10,0:17:15,"3,27"
312,Half,1:12:59,0:03:49,"3,29"
312,25K,1:26:28,0:17:18,"3,28"
312,30K,1:43:49,0:17:22,"3,28"
312,35K,2:01:14,0:17:24,"3,29"
312,40K,2:18:31,0:17:18,"3,28"
312,META,2:26:06,0:07:34,"3,27"
262,5K,0:17:16,0:17:16,"0,00"
262,10K,0:34:35,0:17:19,"3,28"
262,15K,0:51:58,0:17:22,"3,28"
262,20K,1:09:12,0:17:15,"3,27"
262,Half,1:13:00,0:03:47,"3,27"
262,25K,1:26:41,0:17:29,"3,30"
262,30K,1:44:10,0:17:28,"3,30"
262,35K,2:01:49,0:17:40,"3,32"
262,40K,2:18:59,0:17:09,"3,26"
262,META,2:26:17,0:07:18,"3,20"
247,5K,0:17:22,0:17:22,"0,00"
247,10K,0:34:35,0:17:12,"3,26"
247,15K,0:51:56,0:17:21,"3,28"
247,20K,1:09:10,0:17:14,"3,27"
247,Half,1:12:58,0:03:49,"3,29"
247,25K,1:26:29,0:17:20,"3,28"
247,30K,1:43:49,0:17:19,"3,28"
247,35K,2:01:18,0:17:30,"3,30"
247,40K,2:18:30,0:17:12,"3,26"
247,META,2:26:16,0:07:45,"3,32"
212,5K,0:17:07,0:17:07,"0,00"
212,10K,0:34:18,0:17:11,"3,26"
212,15K,0:51:28,0:17:10,"3,26"
212,20K,1:08:36,0:17:07,"3,25"
212,Half,1:12:21,0:03:45,"3,25"
212,25K,1:25:54,0:17:18,"3,28"
